,Unnamed: 0,id_df,title_df,author_df,abstract,keywords,labels
122,123,182565-MS,Using a Genetic-Based Approach to Enhance Natural Fracture Characterization in a Giant Carbonate Field,"Ibrayev, Farkhat, North Caspian Operating Company| Fernandez-Ibanez, Fermin, ExxonMobil Development Company| DeGraff, James M., ExxonMobil Development Company","|Abstract 
Understanding fracture development in the context of the chemical and physical processes undergone by the reservoir from deposition through burial is a powerful tool for reservoir characterization. These processes control the distribution and density of different fracture types and their effective flow properties. Classification of fractures from a genetic standpoint has provided a robust framework to develop conceptual models on fracture distribution in this large carbonate field. 
Three distinctive fracture generations are defined in this field based on direct core observations. Generations are named A, B, C based on their relative timing. Generation A corresponds to syn-depositional fractures, often filled with volcanic debris and early marine cements. Generation B corresponds to burial related fractures that develop due to vertical loading and compaction. They often appear in association with stylolites. Generation C also forms in the burial realm and they are thought to be related to overpressure in the context of the hydrocarbon charge. 
Integration of core and image log observations suggests that syndepositional fractures are more abundant along the rim, with the maximum occurrence at the outer platform to slope transition. Burial fractures, on the other hand, are ubiquitous across the field. High fracture densities occur in the slope where dissolution processes also enhance the fracture network. The dynamic potential of these features is supported by the presence of severe mud losses while drilling, which is used as a proxy for excess permeability in the absence of well test or production data. Lost circulation events are evaluated using observations from core and image logs to determine their root cause.|",,11
123,124,182460-MS,Well Failure Mechanisms and Conceptualisation of Reservoir-Aquifer Failure Pathways,"Wu, B., CSIRO Energy| Doble, R., CSIRO Land and Water| Turnadge, C., CSIRO Land and Water| Mallants, D., CSIRO Land and Water","|Abstract 
This paper presents a critical review of literature on bore and well failure mechanisms and rates, and conceptualisations of probable reservoir-aquifer failure pathways. The objective was to gain a better understanding about bore and well induced inter-aquifer connectivity and the potential consequences to groundwater resources. This comprehensive review included Australian and international literature on onshore conventional oil and gas wells, water bores, coal seam gas wells and coal exploration bores. Failure mechanisms and rates were discussed for the entire well life cycle. Reservoir-aquifer failure pathways were then conceptualised based on the failure mechanisms and risk analyses considering the likelihood of failure and detection, repair and potential impacts on hydrogeology.|","Groundwater flow modelling, Inter-aquifer connectivity, Well integrity, Coal seam gas, Well failure mechanism",12
124,125,182412-MS,Integration of Wireline Formation Tester Pressures with Advanced Formation Evaluation and Image Logs in Fractured Marine Slope Carbonates,"Roche, Jeff, InterOil Corporation| Harfoushian, Jack, Schlumberger| Datey, Ashish, Schlumberger| Lewis, Dale, Schlumberger| Advent, Francis, Schlumberger","|Abstract 
Fractured slope to deepwater carbonates in Papua New Guinea present significant challenges from the perspective of calculating hydrocarbons in place and assessing reservoir productivity. Given the heterogeneous nature of the carbonates, significant difficulties arise when attempting to determine productive intervals using only petrophysical evaluations and borehole image logs. This paper discusses how productive intervals are identified by integrating mobility from formation pressure testers. 
To determine the role exerted by diagenetic processes (mainly cementation and compaction) on the fluid storage and migration pathways within the slope to deepwater carbonates, permeability structures had to be appraised. Over the past several decades, wireline formation testers have proved to be an efficient method of assessing mobility and inferred productivity, in addition to gathering representative fluid samples for accurate pressure, volume, and temperature (PVT) analysis. Recent advancements have further improved the efficiency of wireline testers in such environments by combining the benefits of straddle packer systems with enhanced probes. 
In this paper, in-depth analysis is presented on the integration of a comprehensive pressure and productivity data set acquired using the latest-generation wireline tools with advanced formation evaluation and image logs. The revolutionary advances provided by a new multifrequency dielectric tool were also used to provide an Archie mn exponent log from continuous in-situ measurement of rock texture.|","Dielectric multi frequency, Image Logs, Formation Tester, Papua New Guinea, open marine and platform carbonates",3
125,126,182499-MS,"Improving the Sanding Evaluation Accuracy by Integrating Core Tests, Field Observations and Numerical Simulation","Gui, Feng, Baker Hughes| Khaksar, Abbas, Baker Hughes| Zee, Wouter Van Der, Baker Hughes| Cadogan, Paul, INPEX Operations","|Abstract 
Managing sand production is becoming an increasingly important issue for petroleum production wells, particularly in challenging environments such as deep water, or gas fields with high flow rate production where sand tolerance is very low and changing the completion strategy could be costly. Sand production prediction is an integral part of overall field development planning. Consequently, it is important that the risk of sanding is accurately evaluated and appropriate measures are taken for well completion. The critical part in a sanding study is to define a proper rock deformation threshold based on laboratory tests or field observations. Due to the lack of sufficient field sanding data or for the sake of modelling simplicity, the rock deformation threshold is frequently defined either inappropriately or too simplistically because of the failure to recognize the intrinsic heterogeneities of reservoir rocks. 
In this paper, two cases are presented with the deformation threshold ""critical plastic strain limit"" defined by a numerical simulation approach. One case represents a weak to medium-strength sandstone reservoir and the other a stronger, clean sandstone reservoir. In both cases, a comprehensive core testing dataset and a field-validated geomechanical model are available. In the weak-medium strength case, there were also several years of production history with sanding observations available from a few wells. 
The numerical method uses an elasto-plastic material model where the rock behaviour is numerically defined from systematic triaxial compressive core tests and a rock failure criterion based on the plastic strain limits modelled from Advanced Thick-Walled Cylinder (ATWC) core tests with calibration against field sanding observations. From the modelling of a range of high-quality ATWC tests and field sand production experiences, strong correlations are found between the critical strain limit and the rock compressive strength for both cases indicating different critical strain limit thresholds for different rock strengths and rock types. 
Although high-porosity and weaker rocks may still have a higher risk of sand production than low-porosity and stronger rocks, the risk of sanding may not be as high as predicted if a single threshold is used for the entire rock strength and porosity range. The use of a single threshold for the whole field could over- or under- estimate the risk of sand production, especially for reservoirs with a moderate risk of sand production. 
Sanding evaluations of the two cases revealed that the predicted sanding risk is potentially misleading if a simple sanding threshold is defined without adequately capturing the heterogeneity in reservoir rocks. This approach may prohibit the selection of an appropriate completion strategy for the entire field. This paper is concluded by presenting a rock testing program procedure for sanding evaluation studies to better capture the heterogeneity in reservoir rocks and, hence, to predict the sanding risk more reliably.|","Critial Strain Limit, Rock deformation Threshold, Numerical Simulation, Sand Production",46
126,127,182449-MS,Fast Track Well Planning in Borneo,"Pathy, Kuhanesapathy AL Thavaras, PETRONAS Carigali Sdn Bhd| Kumar, Premila AP Krishna, PETRONAS Carigali Sdn Bhd| Kaeng, Geovani C., Halliburton| Mansor, Aznizan Bin, Halliburton| Sausan, Sarah, Halliburton","|Abstract 
This paper highlights the phenomenal achievement of a Malaysian operator's first fast track drilling operation in a deepwater well offshore Borneo. The collaborative well planning (CWP) method fundamental to the drilling success is discussed. 
The discussed drilling environment is an overpressured deepwater area that has not only forced the earlier A1 and A2 to early total depth (TD) and caused abandonment of geological targets, but also contributes to numerous operational problems. Despite the challenges, operations on A3 ST-1 required significantly less operational time cost than budgeted. The difference between the previous two wells and A3 ST-1 was that, during the planning period, multidisciplinary concerns were addressed more carefully in real-time by employing CWP to unite geoscientists, drilling engineers, and other stakeholders using 3D integrated platform technology. 
This CWP helped the operator meet objectives for A3 ST-1, a fast track well that required only two months of drilling time, rather than the typical 12 to 18 months. It resulted in one primary well location and six geological sidetrack scenarios being accomplished in only one day. Upon the end of the operation, Well A3 was drilled with one successful cased hole sidetrack to geological target objectives without significant operational problems. A significant portion of the success can be attributed to the proper accommodation of concerns and best practices of rig usage, engineering insights, tool usage, and geological conditions during the planning process through the common software platform that can seamlessly allow collaboration of both geoscience and engineering data. The process automation only requires key drilling parameters to construct well trajectories, which was also significant in terms of shortening the planning time. 
This paper describes the first application of the CWP concept in offshore Borneo, which has become a trendsetter in terms of efficient and safe deepwater drilling planning and operations.|","fast track drilling, well planning, collaborative well planning, process automation, deepwater",1
127,128,182220-MS,Comprehensive Geomechanical Modeling and Wellbore Stability Analysis for Infill Drilling of High-Angled Wells in a Mature Oil Field,"Asadi, M. S., Baker Hughes| Khaksar, A., Baker Hughes| Ring, M. J., Baker Hughes| Yin Yin, K., PETRONAS","|Abstract 
Reservoir pressure depletion and decline of production are two common features of many mature petroleum fields. Drilling and stimulation of long, highly-deviated wellbores is one of the many technologies commonly used to enhance the production in mature fields. Reservoir depletion results in reduction of in situ horizontal stresses and more specifically in the formation fracture gradient (FG). The presence of non-depleted and generally weak interbeds within the pressure depleted reservoirs with a low FG leads to a narrow drilling margin for new infill wells or laterals. Therefore, a robust knowledge of rock mechanical properties, formation pressures, the magnitude of in situ stresses and their evolution with production and depletion are essential for successful drilling of new wells in particular and the redevelopment of mature fields as a whole. 
A case study from a mature oil field in the Sarawak Basin, offshore Malaysia, is presented where the field geomechanical elements were constrained from field data acquired in more than 10 offset wells drilled in early 1980s, and a new re-development well drilled in 2014 with supplementary core, well logs and pressure data. The results of rock mechanical core tests along with acoustic logs in the new well were used to update and verify an early geomechanical model built in the area. Extensive production from more than 20 multi-layer sandstone reservoirs resulted in significant pressure depletion whilst some of the deeper and stronger reservoirs still contain significant oil reserves. The geomechanical model was used to identify the narrow-margin drilling and stability risks of infill deviated oil producers targeting by-passed oil in the deeper reservoirs, and horizontal water injectors planned to enhance oil recovery in the field. 
The results showed that both intermediate and production sections of planned wells would have narrow mud weight windows. Depending on the well trajectory, the production sections could have only 0.8 ppg drilling margin due to a higher depletion of deeper reservoirs. The analyses also highlighted thin, weak interbeds in the intermediate hole section that require a minimum mud weight of 10.0-10.5 ppg to limit shear failure to a manageable level considering hole cleaning challenges in high-angled wells whilst the FG of depleted sections could be as low as 11.3 ppg requiring stringent control on downhole pressure while drilling to keep the hole pressure within the safe margin. Optimum mud weights, safe drilling margins and casing setting points were determined for nine different well trajectories focusing on the azimuthal and inclination dependency of fracture and borehole collapse pressures. 
The subsequent drilling campaign of planned infill oil producers and water injectors in the field has been successful due to good drilling practices, using the recommended mud programs consistent with wellbore stability assessments, and careful bottomhole pressure control.|","Depleted Reservoirs, Geomechanics, Mature Field Redevelopment, High-Angled Infill Drilling, Narrow Drilling Margin",33
128,129,182285-MS,Change in Geomechanical Properties of Limestone Due to Supercritical CO2 Injection,"Zhang, Yihuai, Curtin University| Lebedev, Maxim, Curtin University| Sarmadivaleh, Mohammad, Curtin University| Barifcani, Ahmed, Curtin University| Iglauer, Stefan, Curtin University","|Abstract 
CO2 geo-storage in deep saline aquifers or oil and gas reservoirs is a key technology to mitigate anthropogenic greenhouse gas emissions. Technically, CO2 is captured from large emitters, e.g. coal-fired power plants, and injected deep underground into geological formations. In case of hydrocarbon reservoirs, this can be combined with CO2-enhanced petroleum recovery, which is rather efficient. One potential host rock for CO2 is thus porous limestone; however, the geomechanical response (especially at the microscale) of the limestone when it is exposed to the acidic CO2-fluids (CO2 saturated brine or wet supercritical CO2) is only poorly understood. 
We thus measured the geomechanical properties of Savonnieres limestone cores before and after injection of supercritical CO2 at the microscale. The CO2 was injected at representative flow conditions: a fully brine saturated storage reservoir at approximately 1000m depth (323K temperature, 10 MPa pore pressure, 5 MPa effective stress) was simulated, and 10 pore volumes of supercritical CO2 were injected at a capillary number of 10-6, which mimics storage conditions. The dynamic elastic properties and the formation factor were measured and compared with the geomechanical response. 
We found that the dynamic Young’s modulus decreased, while permeability and porosity increased after scCO2 injection; however, the micro-scale indentation moduli showed a dual behaviour: while the indentation modulus slightly increased in less consolidated rock areas, it decreased in the more and highly consolidated areas. We conclude that the scCO2 injected into limestone weakens the well consolidated areas, but strengthens the weaker areas.|","CO2 storage, supercritical CO2, geomechanical, acid injection",13
129,130,182215-MS,Characterization of Elastic Properties of Lacustrine Shale Reservoir Using Well Logging and Core Analysis,"Yu, Hongyan, State Key Laboratory of Continental Dynamics & Geology Department of Northwest University| Wang, Zhenliang, State Key Laboratory of Continental Dynamics & Geology Department of Northwest University| Rezaee, Reza, Curtin University| Arif, Muhammad, Curtin University| Xiao, Liang, China University of Geosciences","|Abstract 
Understanding the elastic properties of rocks is very important for unconventional reservoirs exploration. Unlike marine shale, the lacustrine shale is more complicated with complex mineral composition and frequent sand and shale interbeds. Typical analysis for lacustrine shale gas reservoir rock include: triaxial test, X-ray diffraction (XRD), total organic carbon (TOC) measurements. The mineral composition is different for argillaceous shale and silty laminae shale. The static elastic properties are controlled by clay content, organic matter and porosity. In this work we evaluate elastic properties of above mentioned rocks using experimeal core analysis and well log data. Based on triaxial test, Young's modulus and Poisson's ratio of rocks are obtained by means of the relationship between strain and stress. Argillaceous shale is low to medium strength rock, and silty laminae shale belongs to medium to high strength rock. We find that Young's modulus and Poison's ratio has a negative relationship with clay content, organic matter and porosity which is present by bulk density and neutron porosity logs. The dynamic elastic properties are obtained from cross diploe acoustic well logging data. The dynamic elastic properties have the same controlling factors as static properties. Argillaceous shale and silty laminae shale have significantly different response characteristics in well logging. The porosity is the main factor which leads to the differences between dynamic and static elastic properties. Moreover, it is also found that the ratio of static and dynamic elastic properties is a function of porosity. Hence, density porosity and neutron porosity from the logs are chosen to establish dynamic elastic properties correction model. The correction model is effective in predicting static properties in lacustrine shale gas reservoirs. We conclude that the static properties obtained from the correction model match with core derived static properties.|","diploe acoustic logs, elastic properties, characterization, shale gas rock",60
130,131,182259-MS,The Far-Field Deformation Induced by a Fracture in a Poroelastic Layer with Application to Tiltmeter Monitoring of Hydraulic Fractures in Coal Seams,"Chen, Zuorong, CSIRO| Pandurangan, Venkataraman, CSIRO| Jeffrey, Robert G., SCT Operations Pty Ltd","|Abstract 
Measurements of deformations by using tiltmeters located at large or moderate distances from a hydraulic fracture (HF) have often been used to monitor fracture geometry. The fracture is generally represented as a singular point displacement discontinuity (DD) source, or as a constant DD over a rectangular plane, or as a distributed DD across a fracture plane, and the analytical solution for the induced deformation by a DD in a homogeneous elastic half-space is commonly used directly as a forward model for representing a simple fracture or as a building block for constructing a more complex fracture in mapping the fracture geometry. The mechanical properties of the coal seam in which an HF is placed are typically very different from those of the surrounding rocks. In addition, the poroleastic response associated with fracturing fluid leakoff from the fracture surface into the coal layer may also influence the HF growth and the induced deformation. In order to obtain a correct interpretation of the created fracture geometry and better understanding of the treating pressure behaviour in hydraulic fracturing stimulation of coal to enhance gas production, the mechanical property contrasts and the poroelastic effect induced by fluid leakoff need to be recognised and taken into account. 
In this paper, a mechanical model based on the concept of eigenstrain and the equivalent inclusion method is presented and applied to the problem of calculating the far-field deformation and stresses induced by a horizontal fracture located in a formation layer with mechanical properties different from those of the surrounding homogeneous elastic half-space. The fracture is modelled as a constant opening DD across the fracture plane, and the corresponding mathematically equivalent eigenstrain is defined based on the fracture opening and formation layer geometry. A simple one-dimensional hydromechanical model has been presented to approximate the fluid leakoff through the surface of a stationary fracture. The analytical solutions allow for estimating the importance of the poroelastic effect associated with an HF in a coal seam. The variation of the pore fluid content due to fracturing fluid leakoff is characterized by the poroelastic eigenstrain. A relationship connecting the induced far-field deformation and stresses with the fracture and formation layer geometry, the fluid leakoff volume, and the mechanical properties has been established. The proposed method offers a simple and computationally efficient forward model to take into account the effect of mechanical property contrasts and poroelasticity on the deformation induced by the fracture when using tiltmeter monitoring to map the geometry of an HF in a coal seam.|","Poroelasticity, Material Heterogeneity, Coal Seam, Hydraulic Fracture, Tiltmeter",53
131,132,182177-MS,Well Planning and Stimulation Optimisation by Integrating 3D Geomechanics for a Horizontal Well in the Northern Cooper Basin,"Gui, Feng, Baker Hughes| Rahman, Khalil, Baker Hughes| Lockhart, Duncan, Senex Energy Limited","|Abstract 
Drilling and stimulation of exploration and development wells in the Cooper Basin, Central Australia, has been challenging over the decades due to the high-pressure, high-temperature environment, the high stress anisotropy, and the presence of thick coals. Most of the wells drilled to date have been vertical. To improve production, a study was conducted for a low-permeability tight-sand oil field to assess a horizontal well with multi-stage stimulation. The long horizontal well was expected to pass through a region with varying depletions and lithologies, causing lateral variations in stress and rock properties that could only be captured by a 3D geomechanical model. 
A 3D geomechanical model was constructed to provide an integrated and accurate understanding of the field and to facilitate the planning and design of drilling, completion and stimulation of the horizontal well with reduced cost and risks, and to maximize the productivity. Based on detailed 1D geomechanical modelling, a well-centric understanding of the three principal stresses, fluid pressure and rock mechanical properties of the formations was developed for offset wells in the field. The pore pressure distribution and depletion in 3D space was calibrated using well test and long-term pressure survey data. Rock mechanical properties and stresses were populated in 3D space using seismic interval velocities and relationships developed in the 1D modelling, honouring the 3D static geological and structural models. 
The model of pressure, stress and rock property variations in 3D space enabled optimization of the casing program and mud weights. Operational best practices to drill the long horizontal well, especially the high-angle build section in overburden coals, were compiled based on a drilling knowledge base developed using data from analogous fields. The use of varying stress and rock mechanical properties along the planned well trajectory in hydraulic fracturing optimization was a differentiating approach to conventional hydraulic fracturing optimization using 1D geomechanics. The treatment was optimized to confine the fracture above the water-bearing formation along the well path. The optimized stimulation design provided the best solution of stages, proppant and fluid selection, and injection schedules to maximize production with minimum cost. 
Based on the detailed assessment, it was concluded that the horizontal well is drillable with optimized mud properties and good drilling practices to overcome the instability in coals. In addition, the reservoir section can be drilled safely with lower mud weights whilst still maintaining good wellbore shape. A multistage transverse fracturing program was optimized to improve the production, mitigating the challenges from the extremely low stress contrast between reservoir and the underlying water-bearing zone.|","Stimulation Optimization, Cooper Basin, Horizontal Well, Well Planning, 3D Geomechanics",33
132,133,182247-MS,Geomechanical Sweet Spot Identification in Unconventional Resources Development,"Rahman, Khalil, Baker Hughes| Gui, Feng, Baker Hughes","|Abstract 
Sweet spot identification in unconventional fields generally involves the identification of clusters and intensities of parameters that indicate the resource volume and production-related parameters, i.e., reservoir quality parameters such as total organic content (TOC), porosity, permeability, pay zone thickness, etc. The process usually incorporates interpretation of seismic data, well logs and other data to develop a 3D model that is used to suggest locations for productive wells. While understanding these parameters is essential in unconventional resource development, the potential to achieve productive hydraulic fractures, or the potential to exploit natural fractures, or the potential to achieve both simultaneously determines the feasibility of developing an unconventional resource. There are geomechanical conditions that are favourable to achieve the maximum productivity from stimulation operations. Identifying the geomechanical sweet spots within the field-wide reservoir quality sweet spots is, therefore, essential for optimum placement of wells and hydraulic fractures in unconventional reservoirs. This identification requirement is gaining more and more attention in the industry, which is helping the technique and workflow development. This paper discusses the workflow to identify the existence and properties of geomechanical sweet spots including rock mechanical properties and natural fracture distribution and how they help to decide the vertical location and direction of horizontal wells for optimal reservoir development. The workflow requires a multidisciplinary data set comprising drilling, geology, geophysics, production, geochemistry and geomechanical information. Based on detailed geological understanding, either a 1D or a 3D geomechanical model is built as the foundation for further analysis. Images, seismic data and structural information are the key to develop the understanding of natural fracture distribution. A discrete fracture network (DFN) model, or other definitive models, is required to identify stress-sensitive fracture distributions under different stress conditions. Due to the fact that local in-situ stress and natural fracture properties can be altered by production operations, initial unsweet spots may turn into sweet spots at some stage of production or injection operations. Based on the results of comprehensive geomechanical sweet spot analysis, an optimal development decision can be made based on integrated geomechanics, production and net present value analyses within the identified sweet spots. This paper includes results and illustrations from several case studies completed for a number of fields in the Asia Pacific to demonstrate the concept.|","Optimum development, Unconventional, Sweet spot, Stimulation, Geomechanics",21
133,134,182452-MS,Dual-Diameter Drill Bits Improve Drilling Efficiency by Reducing Stresses in the Wellbore,"Rahim Bima Putra, Nur, National Oilwell Varco| Leonanto, Raden, National Oilwell Varco| Markandeya, Sri, National Oilwell Varco| Ritamawan, Radianto, VICO Indonesia| Sabri Saragih, Anggi Muhammad, VICO Indonesia","|Abstract 
When drilling wells for hydrocarbon extraction, completing a specific interval of the well in the fastest time possible is a key requirement. One of the main contributing factors for improved performance is the drill bit. 
It is well known in the drilling industry that the stress state of the formation around the bit and drilled well is significantly lowered once penetrated by the bit. Conventional single diameter polycrystalline diamond compact (PDC) drill bits are not capable of taking advantage of this reduced effective rock strength. 
Dual-diameter bits address the identified challenges through the use of elegant physical principles and offer an efficient, reliable means of drilling. The concentric, dual-diameter design lowers the effective rock strength encountered by the critical shoulder-to-gauge area of the bit's cutting structure. 
The smaller pilot section of the bit design drills a pilot hole, which reduces the confinement and thus strength of the rock drilled by the larger reamer section. The reamer section of the bit is able to utilize the bedded pilot bit for stabilization to offset the greater forces associated with larger diameter drilling. The offset blade configuration of the bits also offers 360-degree contact the borehole and helps deliver a gun barrel hole quality. 
This paper introduces the development of a unique, two-stage, dual-diameter profile, and polycrystalline diamond compact drill bit for an application in Indonesia. Typically, multiple drill bits are required to finish the section, which consists of abrasive sandstone with some layers of coal. The objective was to improve the drilling performance while also minimizing non-productive time (NPT) for a bit trip. 
The paper provides and in-depth evaluation of the bit performance over several field trials. The first bit was run in a motor assembly and improved 14% rate of penetration (ROP) with exceptional dull condition. The drilling parameters indicated that the bit generated higher ROP with lower weight on bit (WOB) compared to other bit types. This performance convinced the operator to run the dual-diameter PDC bit in a more challenging field where its remarkable performance achieved field records. In comparison to the closest offset well, dual-diameter drill bits replaced three-bit runs with 56% longer intervals drilled and improved overall ROP by 41%. In addition, rig time was reduced by 5.3 days. The operator was extremely pleased with the bit performance and decided to use a dual-diameter PDC bit as the primary option to drill this section in every field.|","Penetration Rate, Drill Bit Design, Bit Selection, Performance",17
134,135,182178-MS,High Stress Contrast between Different Lithologies and its Implications for Drilling and Stimulation in the Northern Cooper Basin,"Gui, Feng, Baker Hughes| Rahman, Khalil, Baker Hughes| Lockhart, Duncan, Senex Energy Limited| Cunha, Diogo, Senex Energy Limited| Meadows, Dylan,","|Abstract 
Drilling in the Cooper Basin faces challenges from the hostile stress environment, high-pressure and high-temperature conditions, and variations in rock properties with depth. The current understanding is that the Cooper Basin is under a highly deviatoric, strike-slip stress regime with significant stress contrasts between different lithologies. These conditions create challenges for drilling and well stimulation. 
A series of wells have been reviewed to understand the vertical and lateral stress changes in the Patchawarra Trough in the Northern Cooper Basin. The temperature anomaly at this location appears to be lower than in the Nappamerri Trough in the south. A different level of overpressure is also observed, and the formation pressure appears to vary depending on structural location. Shallow wells on the ridge appear to be near hydrostatic in the Permian sands, but overpressure is as high as 10.5-11 ppg on structures in the deeper part of the Patchawarra Trough. Rocks appear to be generally strong, with siltstones in the Permian section being only slightly weaker than sandstones. The stress anisotropy in the sandstone is large; the SHmax/Shmin ratio is greater than 2. The stress anisotropy is considered to be the reason for preferential wellbore failure in sands instead of shaly siltstones. The stresses in interlayered thick coals tend to be near isotropic. It is also thought that the stress regime is not necessarily uniform with depth; the maximum horizontal stress decreases drastically at shallower depths, and the stress regime becomes normal faulting. 
The detailed geomechanical analysis shows that the drilling challenges faced in the deeper section are mainly caused by the thick coal sequences. Sandstones and siltstones are relatively strong, should not cause much wellbore instability, and are only expected to develop narrow breakouts. For hydraulic fracturing, the small stress contrast (similar minimum horizontal stress magnitudes) between sandstone and siltstone in the Permian formation would result in difficulty in confining the fracture in zone. Consequently, excessive height growth may cause the fracture to grow into highly fractured coals and may lead to early screen-outs. 
Detailed geomechanical modeling for a series of wells in the Patchawarra Trough has enabled a thorough understanding of variations in rock properties, pressure and stress in the area. Optimised drilling strategies for mud weight and mud properties were adopted for the drilling of vertical and horizontal wells. Accurate stress modelling also helped the optimisation of hydraulic fracture design to achieve successful fracture treatments for improved production.|","Cooper Basin, Stimulation, High Stress Contrast, Drilling",53
135,136,182160-MS,A Novel Approach to Evaluate the Risk of Sanding for Optimum Well Completion Design: A Deep-Water Case Study from Southeast Asia,"Younessi, A., Baker Hughes Inc.| Khaksar, A., Baker Hughes Inc.","|Abstract 
Challenging environments, such as deep-water, require greater effort when designing wells and completion systems. In such cases, hydrocarbon production associated risks must be evaluated from very early stages of field development. Particularly, the risk of sanding should be investigated to select and define the optimum well completion, and if required, the appropriate sand control options. This paper presents a novel approach to predict the onset of sanding by describing a case study from a deep-water gas field in Southeast Asia. 
Sanding analysis generally consists of either a numerical or analytical model calibrated against laboratory tests and production histories. Here, both numerical and analytical models are implemented to achieve a robust and reliable prediction in the absence of any production data. For this purpose, the numerical model is prepared and run using a comprehensive material model considering poroelastic-plastic rock behaviour with strain hardening. The rock is modelled from a combination of single-stage triaxial and advanced thick-walled cylinder rock mechanical tests on representative samples from the target reservoirs. A poroelastic analytical model calibrated against the numerical modelling results is then used to conduct sand production predictions with sensitivity analyses for a number of well trajectory scenarios for both cased and perforated, and open-hole completions. 
Although the numerical and analytical models follow different assumptions, the sanding prediction results from both models are consistent. Once a reliable validation is obtained, the analytical method can be used with confidence for sand production prediction for future wells through its simplicity and fast realization of various scenarios. The results show that a high risk of sanding exists for both cased and perforated, and open-hole completion systems for the planned deviated wells. Hence, downhole sand exclusion options are deemed to be required for the development wells. 
Incorporating analytical poroelastic and numerical poroelastic-plastic sanding evaluations enhanced the reliability of sanding prediction for development wells. This approach is particularly beneficial in the absence of production data at appraisal or early development stages.|","Sand Production Prediction, Geomechanics, Analytical Analysis, Numerical Analysis, Deep-Water",3
136,137,182161-MS,When to Refrac? Combination of Reservoir Geomechanics with Fracture Modeling and Reservoir Simulation Holds the Answer,"Pankaj, Piyush, Schlumberger| Gakhar, Kush, Schlumberger| Lindsay, Garrett, Schlumberger","|Abstract 
A workflow has been developed for a shale play in North America for the strategic deployment of refracturing in an unconventional reservoir. Although it is clearly understood in the industry that refracturing in tight unconventional reservoirs can have a dramatic impact on the productivity and longevity of economic production, until now there has been no workflow that could be counted on to deliver consistent results. The impact of production and stress re-orientation plays a significant role in adding a fourth dimension of time to the existing three-dimensional problem of hydraulic fracture modeling in these reservoirs. 
We examined the re-orientation of reservoir stress and the change in stress magnitude with production in a case from the Eagle Ford. The stress redistribution occurring due to poroelastic effects was simulated using a finite element geomechanical simulator and then tied back to predict the new hydraulic fracture growth. Fracture geometry as it relates to draining the unstimulated domain was found to play a significant role in fracturing success. The impact of adding new perforations in the wellbore and application of a suitable diversion technique were also considered in the study. Our numerical investigation of the potential increase in productivity with selection of the optimum refracturing treatment timing and technique led to development of a methodology that solves the complex four-dimensional problem. 
By adopting the guidelines from the case study application of the end-to-end workflow, operators can avoid the futility of too early or too late fracturing and thereby maximize their return on investment.|","VISAGE, depletion stress change, Unconvetional fracture model, Refracturing, Mangrove",15
137,138,182313-MS,Demystifying Log Quality Control,"Storey, M. C., Well Data QA Pty. Ltd.","|Abstract 
All would agree that bad data should not be let into the organization’s systems and its decision-making processes, yet there are no industry standard methods on how best to assure this for well log data. Electric well logs are the principal data sets for all geotechnical personnel in this industry: logs generally constitute the main continuous and relatively high-resolution records describing a wellbore, and they are available over the main depth intervals of most wells drilled for hydrocarbon exploration and production. 
The specialized contractor companies that acquire the logs have quality management systems in place to ensure compliance and consistency with their own specifications. The data deliverables are therefore subject to some quality control before delivery to the operating companies, although it is of a general nature and focused on the acquired data, rather than on their future exploitation. 
On delivery, the responsibility for any post-acquisition quality control of the well logs frequently falls on inadequately trained and supervised geotechnical persons, who may skim over it on account of its being ""too hard"" or ""too urgent"". People responsible for log quality control frequently report that they find it ""difficult"" or ""overwhelming"" and that they ""don’t know where to start"". Subject matter experts themselves know that logs must always be checked and perhaps conditioned before they can be used. Yet few of them have simultaneously the knowledge, the experience, the reference information, the tools and the time to verify the fitness-for-purpose of the data methodically and confidently. This systematic requirement is costly for organizations, and its uncertainty exposes them to unnecessary risks. The situation is exacerbated by concurrent increases in the variety, volume and complexity of the log data and in their rates of change. 
There must be a better way to assure log data quality and readiness for exploitation. The objective of this paper is to propose a framework to formalize and simplify log quality control in operating companies and other data-user organizations.|","Log Quality Control, LQC, Data Quality, Quality Management, Log Data",1
