id	link	date	title	authors	summary
1005.3385v1	http://arxiv.org/pdf/1005.3385v1	2010	Current reversals in a rocking ratchet: dynamical vs symmetry-breaking   mechanisms	D. Cubero|V. Lebedev|F. Renzoni	  Directed transport in ratchets is determined by symmetry-breaking in a system out of equilibrium. A hallmark of rocking ratchets is current reversals: an increase in the rocking force changes the direction of the current. In this work for a bi-harmonically driven spatially symmetric rocking ratchet we show that a class of current reversal is precisely determined by symmetry-breaking, thus creating a link between dynamical and symmetry-breaking mechanisms. 	
1306.6587v1	http://arxiv.org/pdf/1306.6587v1	2013	SPH-based simulation of multi-material asteroid collisions	Thomas I. Maindl|Christoph Schäfer|Roland Speith|Áron Süli|Emese Forgács-Dajka|Rudolf Dvorak	  We give a brief introduction to smoothed particle hydrodynamics methods for continuum mechanics. Specifically, we present our 3D SPH code to simulate and analyze collisions of asteroids consisting of two types of material: basaltic rock and ice. We consider effects like brittle failure, fragmentation, and merging in different impact scenarios. After validating our code against previously published results we present first collision results based on measured values for the Weibull flaw distribution parameters of basalt. 	
0805.1802v1	http://arxiv.org/pdf/0805.1802v1	2008	Depinning transition in failure of inhomogeneous brittle materials	Laurent Ponson	  The dynamics of a crack propagating in an elastic inhomogeneous material is investigated. The variations of the average crack velocity with the external loading are measured for a brittle rock and are shown to display two distinct regimes: Below a given threshold Gc, the crack velocity is well described by an exponential law v ~ exp^{-(C/(G-(Gamma))} characteristic of subcritical propagation, while for larger values of the driving force G > Gc, the velocity evolves as a power law v ~ (G - G_c)^theta with theta = 0.80 $\pm$ 0.15. These results can be explained extending the continuum theory of Fracture Mechanics to disordered systems. In this description, the motion of a crack is analogue to the one of an elastic line driven in a random medium and critical failure occurs when the loading is sufficiently large to depinne the crack front from the heterogeneities of the material. 	
1607.07360v2	http://arxiv.org/pdf/1607.07360v2	2016	A cohesive granular material with tunable elasticity	Arnaud Hemmerle|Matthias Schröter|Lucas Goehring	  By mixing glass beads with a curable polymer we create a well-defined cohesive granular medium, held together by solidified, and hence elastic, capillary bridges. This material has a geometry similar to a wet packing of beads, but with an additional control over the elasticity of the bonds holding the particles together. We show that its mechanical response can be varied over several orders of magnitude by adjusting the size and stiffness of the bridges, and the size of the particles. We also investigate its mechanism of failure under unconfined uniaxial compression in combination with in situ x-ray microtomography. We show that a broad linear-elastic regime ends at a limiting strain of about 8%, whatever the stiffness of the agglomerate, which corresponds to the beginning of shear failure. The possibility to finely tune the stiffness, size and shape of this simple material makes it an ideal model system for investigations on, for example, fracturing of porous rocks, seismology, or root growth in cohesive porous media. 	
1302.0483v1	http://arxiv.org/pdf/1302.0483v1	2013	Multifractal analysis of the pore space of real and simulated   sedimentary rocks	Abhra Giri|Sujata Tarafdar|Philippe Gouze|Tapati Dutta	  It is well known that sedimentary rocks having same porosity can have very different pore size distribution. The pore distribution determines many characteristics of the rock among which, its transport property is often the most useful. Multifractal analysis is a powerful tool that is increasingly used to characterize the pore space. In this study we have done multifractal analysis of pore distribution on sedimentary rocks simulated using the Relaxed Bidisperse Ballistic Model (RBBDM). The RBBDM can generate a $3-D$ structure of sedimentary rocks of variable porosity by tuning the fraction $p$ of particles of two different sizes. We have also done multifractal analysis on two samples of real sedimentary rock to compare with the simulation studies. One sample, an oolitic limestone is of high porosity (40%)while the other is a reefal carbonate of low porosity around 7%. $2-D$ sections of X-ray micro-tomographs of the real rocks were stacked sequentially to reconstruct the real rock specimens. Both samples show a multifractal character, but we show that RBBDM gives a very realistic representation of a typical high porosity sedimentary rock. 	
0312138v2	http://arxiv.org/pdf/cond-mat/0312138v2	2005	Power Laws, Precursors and Predictability During Failure	Rumi De|G. Ananthakrishna	  We investigate the dynamics of a modified Burridge-Knopoff model by introducing a dissipative term to mimic the bursts of acoustic emission (AE) from rock samples. The model explains many features of the statistics of AE signals observed in experiments such as the crossover in the exponent value from relatively small amplitude AE signals to larger regime, and their dependence on the pulling speed. Significantly, we find that the cumulative energy dissipated identified with acoustic emission can be used to predict a major slip event. We also find a data collapse of the acoustic activity for several major slip events describable by a universal stretched exponential with corrections in terms of time-to-failure. 	
1712.02320v1	http://arxiv.org/pdf/1712.02320v1	2017	Elastic, strength, and fracture properties of Marcellus shale	Zhefei Jin|Weixin Li|Congrui Jin|James Hambleton|Congrui Jin|Gianluca Cusatis	  Shale, a fine-grained sedimentary rock, is the key source rock for many of the world's most important oil and natural gas deposits. A deep understanding of the mechanical properties of shale is of vital importance in various geotechnical applications, including oil and gas exploitation. In this work, deformability, strength, and fracturing properties of Marcellus shale were investigated through an experimental study. Firstly, uniaxial compression, direct tension, and Brazilian tests were performed on the Marcellus shale specimens in various bedding plane orientations with respect to loading directions to measure the static mechanical properties and their anisotropy. Furthermore, the deformability of Marcellus shale was also studied through seismic velocity measurements for comparison with the static measurements. The experimental results revealed that the transversely isotropic model is applicable for describing the elastic behaviors of Marcellus shale in pure tension and compression. The elastic properties measured from these two experiments, however, were not exactly the same. Strength results showed that differences exist between splitting (Brazilian) and direct tensile strengths, both of which varied with bedding plane orientations and loading directions and were associated with different failure modes. Finally, a series of three-point-bending tests were conducted on specimens of increasing size in three different principal notch orientations to investigate the fracture properties of the material. It was found that there exists a significant size effect on the fracture properties calculated from the measured peak loads and by using the Linear Elastic Fracture Mechanics (LEFM) theory. The fracture properties can be uniquely identified, however, by using Bazant's Size Effect Law and they were found to be anisotropic. 	
1103.3033v1	http://arxiv.org/pdf/1103.3033v1	2011	Ellipsoidal anisotropy in elasticity for rocks and rock masses	Ahmad Pouya|Michel Chalhoub	  One of the interesting features with the ellipsoidal models of anisotropy presented in this paper is their acceptance of analytical solutions for some of the basic elasticity problems. It was shown by Pouya (2000) and Pouya and Zaoui (2006) that many closed-form solutions for basic problems involving linear isotropic materials could be extended by linear transformation to cover a variety of "ellipsoidal" materials. This paper will describe two main varieties of ellipsoidal elastic models and show how well they fit the in situ data for sedimentary rocks; numerical homogenization results for several varieties of fractured rock masses will also be provided. 	
1111.6568v2	http://arxiv.org/pdf/1111.6568v2	2011	Polyhedral colloidal `rocks': low-dimensional networks	Rebecca Rice|Roland Roth|C. Patrick Royall	  We introduce a model system of anisotropic colloidal `rocks'. Due to their shape, the bonding introduced via non-absorbing polymers is profoundly different from spherical particles: bonds between rocks are rigid against rotation, leading to strong frustration. We develop a geometric model which captures the essence of the rocks. Experiments and simulations show that the colloid geometry leads to structures of low fractal dimension. This is in stark contrast to gels of spheres, whose rigidity results from locally dense regions. At high density the rocks form a quasi one-component glass. 	
0801.0559v1	http://arxiv.org/pdf/0801.0559v1	2008	Failure patterns caused by localized rise in pore-fluid overpressure and   effective strength of rocks	Alexander Rozhko|Yuri Podladchikov|François Renard	  In order to better understand the interaction between pore-fluid overpressure and failure patterns in rocks we consider a porous elasto-plastic medium in which a laterally localized overpressure line source is imposed at depth below the free surface. We solve numerically the fluid filtration equation coupled to the gravitational force balance and poro-elasto-plastic rheology equations. Systematic numerical simulations, varying initial stress, intrinsic material properties and geometry, show the existence of five distinct failure patterns caused by either shear banding or tensile fracturing. The value of the critical pore-fluid overpressure at the onset of failure is derived from an analytical solution that is in excellent agreement with numerical simulations. Finally, we construct a phase-diagram that predicts the domains of the different failure patterns and at the onset of failure. 	
0908.4140v1	http://arxiv.org/pdf/0908.4140v1	2009	Investigation of a hydraulic impact: a technology in rock breaking	Martin Genet|Wenyi Yan|Thanh Tran-Cong	  The finite element method and dimensional analysis have been applied in the present paper to study a hydraulic impact, which is utilized in a non-explosive rock breaking technology in mining industry. The impact process of a high speed piston on liquid water, previously introduced in a borehole drilled in rock, is numerically simulated. The research is focused on the influences of all the parameters involved in the technology on the largest principal stress in the rock, which is considered as one of the key factors to break the rock. Our detailed parametric investigation reveals that the variation of the isotropic rock material properties, especially its density, has no significant influence on the largest principal stress. The influences of the depth of the hole and the depth of the water column are also very small. On the other hand, increasing the initial kinetic energy of the piston can dramatically increase the largest principal stress and the best way to increase the initial kinetic energy of the piston is to increase its initial velocity. Results from the current dimensional analysis can be applied to optimize this non-explosive rock breaking technology. 	
1608.04144v2	http://arxiv.org/pdf/1608.04144v2	2016	A multiscale framework for the simulation of the anisotropic mechanical   behavior of shale	Weixin Li|Roozbeh Rezakhani|Congrui Jin|Xinwei Zhou|Gianluca Cusatis	  Shale, like many other sedimentary rocks, is typically heterogeneous, anisotropic, and is characterized by partial alignment of anisotropic clay minerals and naturally formed bedding planes. In this study, a micromechanical framework based on the Lattice Discrete Particle Model (LDPM) is formulated to capture these features. Material anisotropy is introduced through an approximated geometric description of shale internal structure, which includes representation of material property variation with orientation and explicit modeling of parallel lamination. The model is calibrated by carrying out numerical simulations to match various experimental data, including the ones relevant to elastic properties, Brazilian tensile strength, and unconfined compressive strength. Furthermore, parametric study is performed to investigate the relationship between the mesoscale parameters and the macroscopic properties. It is shown that the dependence of the elastic stiffness, strength, and failure mode on loading orientation can be captured successfully. Finally, a homogenization approach based on the asymptotic expansion of field variables is applied to upscale the proposed micromechanical model, and the properties of the homogenized model are analyzed. 	
0902.3941v2	http://arxiv.org/pdf/0902.3941v2	2009	Rocking feedback controlled ratchets	M. Feito|J. P. Baltanas|F. J. Cao	  We investigate the different regimes that emerge when a periodic driving force, the rocking force, acts on a collective feedback flashing ratchet. The interplay of the rocking and the feedback control gives a rich dynamics with different regimes presenting several unexpected novel features. In particular, we show that for both the one-particle ratchet and the collective version of the ratchet an appropriate rocking increases the flux. This mechanism gives the maximum flux that has been achieved in a ratchet device without an a priori bias. 	
1204.0917v1	http://arxiv.org/pdf/1204.0917v1	2012	Reactive-infiltration instabilities in rocks. Fracture dissolution	Piotr Szymczak|Anthony J. C. Ladd	  A reactive fluid dissolving the surface of a uniform fracture will trigger an instability in the dissolution front, leading to spontaneous formation of pronounced well-spaced channels in the surrounding rock matrix. Although the underlying mechanism is similar to the wormhole instability in porous rocks there are significant differences in the physics, due to the absence of a steadily propagating reaction front. In previous work we have described the geophysical implications of this instability in regard to the formation of long conduits in soluble rocks. Here we describe a more general linear stability analysis, including axial diffusion, transport limited dissolution, non-linear kinetics, and a finite length system. 	
1205.6299v1	http://arxiv.org/pdf/1205.6299v1	2012	Interaction between Injection Points during Hydraulic Fracturing	Kjetil M. D. Hals|Inga Berre	  We present a model of the hydraulic fracturing of heterogeneous poroelastic media. The formalism is an effective continuum model that captures the coupled dynamics of the fluid pressure and the fractured rock matrix and models both the tensile and shear failure of the rock. As an application of the formalism, we study the geomechanical stress interaction between two injection points during hydraulic fracturing (hydrofracking) and how this interaction influences the fracturing process. For injection points that are separated by less than a critical correlation length, we find that the fracturing process around each point is strongly correlated with the position of the neighboring point. The magnitude of the correlation length depends on the degree of heterogeneity of the rock and is on the order of 30-45 m for rocks with low permeabilities. In the strongly correlated regime, we predict a novel effective fracture-force that attracts the fractures toward the neighboring injection point. 	
1205.6418v1	http://arxiv.org/pdf/1205.6418v1	2012	Comment on "Compositional and Microchemical Evidence of Piezonuclear   Fission Reactions in Rock Specimens Subjected to Compression Tests" [Strain   47 (Suppl. 2), 282 (2011)]	G. Amato|G. Bertotti|O. Bottauscio|G. Crotti|F. Fiorillo|G. Mana|M. L. Rastello|P. Tavella|F. Vinai	  It is shown that the chemical composition data published by Carpinteri et al. in the article "Compositional and Microchemical Evidence of Piezonuclear Fission Reactions in Rock Specimens Subjected to Compression Tests" [Strain 47 (Suppl. 2), 282 (2011)] cannot be the result of independent measurements as claimed by the authors. Therefore, no conclusion can be drawn from them about compositional modifications induced in the stone by hypothetical piezonuclear reactions taking place during catastrophic failure of the material at fracture. 	
0709.3028v1	http://arxiv.org/pdf/0709.3028v1	2007	Emerging complexity in a simple model of the mechanical behaviour of   rocks	David Amitrano	  We propose a mechanical model for the behaviour of rocks based on progressive damage at the elementary scale and elastic interaction. It allows us to simulate several experimental observations: mechanical behaviour ranging from brittle to ductile, fractal structure of the damage, powerlaw distribution of the damage avalanches. These macroscopic properties are not incorporated at the elementary scale, but are the results of the interaction between elements. This emerging complexity permits us to consider the strain rock process as a complex system characterized by non-linear dynamics. 	
0606290v1	http://arxiv.org/pdf/cond-mat/0606290v1	2006	Bistable phase control via rocking in a nonlinear electronic oscillator	Javier M. Buldu|K. Staliunas|J. A. Casals|Jordi Garcia-Ojalvo	  We experimentally demonstrate the effective rocking of a nonlinear electronic circuit operating in a periodic regime. Namely, we show that driving a Chua circuit with a periodic signal, whose phase alternates (also periodically) in time, we lock the oscillation frequency of the circuit to that of the driving signal, and its phase to one of two possible values shifted by pi, and lying between the alternating phases of the input signal. In this way, we show that a rocked nonlinear oscillator displays phase bistability. We interpret the experimental results via a theoretical analysis of rocking on a simple oscillator model, based on a normal form description (complex Landau equation) of the rocked Hopf bifurcation 	
1111.6520v1	http://arxiv.org/pdf/1111.6520v1	2011	Two-dimensional rocking ratchet for cold atoms	V. Lebedev|F. Renzoni	  We investigate experimentally a two-dimensional rocking ratchet for cold atoms, realized by using a driven three-beam dissipative optical lattice. AC forces are applied in perpendicular directions by phase-modulating two of the lattice beams. As predicted by the general theory [S. Denisov et al., Phys. Rev. Lett. 100, 224102 (2008)], we observe a rectification phenomenon unique to high-dimensional rocking ratchets, as determined by two single-harmonic drivings applied in orthogonal directions. Also, by applying two bi-harmonic forces in perpendicular directions, we demonstrate the possibility of generating a current in an arbitrary direction within the optical lattice plane. 	
1201.0065v1	http://arxiv.org/pdf/1201.0065v1	2011	Analysis of wasp-waisted hysteresis loops in magnetic rocks	R S Kharwanlang|Prabodh Shukla	  The random-field Ising model of hysteresis is generalized to dilute magnets and solved on a Bethe lattice. Exact expressions for the major and minor hysteresis loops are obtained. In the strongly dilute limit the model provides a simple and useful understanding of the shapes of hysteresis loops in magnetic rock samples. 	
1402.6475v1	http://arxiv.org/pdf/1402.6475v1	2014	Rupture cascades in a discrete element model of a porous sedimentary   rock	F. Kun|I. Varga|S. Lennartz-Sassinek|I. G. Main	  We investigate the scaling properties of the sources of crackling noise in a fully-dynamic numerical model of sedimentary rocks subject to uniaxial compression. The model is initiated by filling a cylindrical container with randomly-sized spherical particles which are then connected by breakable beams. Loading at a constant strain rate the cohesive elements fail and the resulting stress transfer produces sudden bursts of correlated failures, directly analogous to the sources of acoustic emissions in real experiments. The source size, energy, and duration can all be quantified for an individual event, and the population analyzed for their scaling properties, including the distribution of waiting times between consecutive events. Despite the non-stationary loading, the results are all characterized by power law distributions over a broad range of scales in agreement with experiments. As failure is approached temporal correlation of events emerge accompanied by spatial clustering. 	
0709.2651v1	http://arxiv.org/pdf/0709.2651v1	2007	Seismic precursory patterns before a cliff collapse and critical-point   phenomena	David Amitrano|Jean Robert Grasso|Gloria Senfaute	  We analyse the statistical pattern of seismicity before a 1-2 103 m3 chalk cliff collapse on the Normandie ocean shore, Western France. We show that a power law acceleration of seismicity rate and energy in both 40 Hz-1.5 kHz and 2 Hz-10kHz frequency range, is defined on 3 order of magnitude, within 2 hours from the collapse time. Simultaneously, the average size of the seismic events increases toward the time to failure. These in-situ results are derived from the only station located within one rupture length distance from the rock fall rupture plane. They mimic the "critical point" like behavior recovered from physical and numerical experiments before brittle failures and tertiary creep failures. Our analysis of this first seismic monitoring data of a cliff collapse suggests that the thermodynamic phase transition models for failure may apply for cliff collapse. 	
0902.1311v1	http://arxiv.org/pdf/0902.1311v1	2009	Rock Joint Surfaces Measurement and Analysis of Aperture Distribution   under Different Normal and Shear Loading Using GIS	Mostafa Sharifzadeh|Yasuhiro Mitani|Tetsuro Esaki	  Geometry of the rock joint is a governing factor for joint mechanical and hydraulic behavior. A new method of evaluating aperture distribution based on measurement of joint surfaces and three dimensional characteristics of each surface is developed. Artificial joint of granite surfaces are measured,processed, analyzed and three dimensional approaches are carried out for surface characterization. Parameters such as asperity's heights, slope angles, and aspects distribution at micro scale,local concentration of elements and their spatial localization at local scale are determined by Geographic Information System (GIS). Changes of aperture distribution at different normal stresses and various shear displacements are visualized and interpreted. Increasing normal load causes negative changes in aperture frequency distribution which indicates high joint matching. However, increasing shear displacement causes a rapid increase in the aperture and positive changes in the aperture frequency distribution which could be due to unmatching, surface anisotropy and spatial localization of contact points with proceeding shear. 	
1709.01847v2	http://arxiv.org/pdf/1709.01847v2	2017	Three-Dimensional Numerical Modeling of Shear Stimulation of Naturally   Fractured Reservoirs	Eren Ucar|Inga Berre|Eirik Keilegavlen	  Shear dilation based hydraulic stimulations enable exploitation of geothermal energy from reservoirs with inadequate initial permeability. While contributing to enhancing the reservoir's permeability, hydraulic stimulation processes may lead to undesired seismic activity. Here, we present a three dimensional numerical model aiming to increase understanding of this mechanism and its consequences. The fractured reservoir is modeled as a network of explicitly represented large scale fractures immersed in a permeable rock matrix. The numerical formulation is constructed by coupling three physical processes: fluid flow, fracture deformation, and rock matrix deformation. For flow simulations, the discrete fracture matrix model is used, which allows the fluid transport from high permeable conductive fractures to the rock matrix and vice versa. The mechanical behavior of the fractures is modeled using a hyperbolic model with reversible and irreversible deformations. Linear elasticity is assumed for the mechanical deformation and stress alteration of the rock matrix. Fractures are modeled as lower dimensional surfaces embodied in the domain, subjected to specific governing equations for their deformation along the tangential and normal directions. Both the fluid flow and momentum balance equations are approximated by finite volume discretizations. The new numerical model is demonstrated considering a three dimensional fractured formation with a network of 20 explicitly represented fractures. The effects of fluid exchange between fractures and rock matrix on the permeability evolution and the generated seismicity are examined for test cases resembling realistic reservoir conditions. 	
