id	link	date	title	authors	summary
1705.06345v1	http://arxiv.org/pdf/1705.06345v1	2017	An Overview of Data Mining Applications in Oil and Gas Exploration:   Structural Geology and Reservoir Property-Issues	Hamed Nikhalat Jahromi|Alpio M. Jorge	  Low oil prices have motivated energy executives to look into cost reduction in their supply chains more seriously. To this end, a new technology that is experimentally considered in hydrocarbon exploration is data mining. There are two major categories of geoscientific problems in which data mining is applied: structural geology and reservoir property-issues. This research overviews these categories by considering a variety of interesting works in each of them. The result is an understanding of the specific geoscientific problems studied in the literature, along with the relative data mining methods. This way, this work tries to lay the ground for a mutual understanding on oil and gas exploration between the data miners and the geoscientists. 	
9701104v1	http://arxiv.org/pdf/astro-ph/9701104v1	1997	The "human" statistics of terrestrial impact cratering rate	Lauri Jetsu	  The most significant periodicities in the terrestrial impact crater record are due to the human-signal: the bias of assigning integer values for the crater ages. This bias seems to have eluded the proponents and opponents of real periodicity in the occurrence of these events, as well as the theorists searching for an extraterrestrial explanation for such periodicity. The human-signal should be seriously considered by scientists in astronomy, geology and paleontology when searching for a connection between terrestrial major comet or asteroid impacts and mass extinctions of species. 	
9910187v2	http://arxiv.org/pdf/astro-ph/9910187v2	1999	Evidence for Compact Dark Matter in Galactic Halos	S. Abbas|A. Abbas|S. Mohanty	  Clumped dark matter arises naturally within the framwork of generic cosmological dark matter models. Invoking the existence of dark matter clumps can also solve may unexplained mysteries in astrophysics and geology or geophysics, eg. the galactic gamma-ray halo and the periodic terrestrial flood basalt volcanic episodes. Clumped dark matter is dynamically stable to friction and will not heat the disk. Such clumps may have already been discovered in the form of dwarf spheroidals, and further searches are encouraged by the results of this paper. 	
0507173v4	http://arxiv.org/pdf/physics/0507173v4	2005	Sorption heat engines: simple inanimate negative entropy generators	Anthonie W. J. Muller|Dirk Schulze-Makuch	  The name 'sorption heat engines' is proposed for simple negative entropy generators that are driven by thermal cycling and work on alternating adsorption and desorption. These generators are in general not explicitly recognized as heat engines. Their mechanism is applicable to the fields of engineering, physics, chemistry, geology, and biology, in particular the origin of life. Four kinds of sorption heat engines are distinguished depending on the occurrence of changes in the adsorbent or adsorbate during the thermal cycle. 	
0804.0308v1	http://arxiv.org/pdf/0804.0308v1	2008	On the Truncated Pareto Distribution with applications	Lorenzo Zaninetti|Mario Ferraro	  The Pareto probability distribution is widely applied in different fields such us finance, physics, hydrology, geology and astronomy. This note deals with an application of the Pareto distribution to astrophysics and more precisely to the statistical analysis of mass of stars and of diameters of asteroids. In particular a comparison between the usual Pareto distribution and its truncated version is presented. Finally a possible physical mechanism that produces Pareto tails for the distribution of the masses of stars is suggested. 	
0811.3136v1	http://arxiv.org/pdf/0811.3136v1	2008	Geological flows	Yu. N. Bratkov	  In this paper geology and planetology are considered using new conceptual basis of high-speed flow dynamics. Recent photo technics allow to see all details of a flow, 'cause the flow is static during very short time interval. On the other hand, maps and images of many planets are accessible. Identity of geological flows and high-speed gas dynamics is demonstrated. There is another time scale, and no more. All results, as far as the concept, are new and belong to the author. No formulae, pictures only. 	
1202.3004v2	http://arxiv.org/pdf/1202.3004v2	2012	Mineralogical and Thermal Analyses of a Bangle Shard from Harrappa, an   Indus Valley Settlement in Pakistan	Saheeb Ahmed Kayani|Rehan ul Haq Siddiqui	  In this research study we present initial results of a recent project in which mineralogical and thermal analysis were carried out on a terracotta bangle shard from Harrappa. We were surprised to find bentonite clay as the major constituent of the bangle shard. Also we have used knowledge of the mineralogical structure determined through X-ray diffraction and results of thermal analysis to predict value of firing temperature of the bangle shard. 	
1210.0716v1	http://arxiv.org/pdf/1210.0716v1	2012	Asteroids dimensions and the Truncated Pareto distribution	L. Zaninetti|M. Ferraro	  In this chapter first the statistics of the standard and truncated Pareto distributions are derived and used to fit empirical values of asteroids diameters from different families, namely, Koronis, Eos and Themis, and from the Astorb database. A theoretical analysis is then carried out and two possible physical mechanisms are suggested that account for Pareto tails in distributions of asteroids diameter. 	
1310.3732v1	http://arxiv.org/pdf/1310.3732v1	2013	Geo-neutrinos	G. Bellini|A. Ianni|L. Ludhova|F. Mantovani|W. F. McDonough	  We review a new interdisciplinary field between Geology and Physics: the study of the Earth's geo-neutrino flux. We describe competing models for the composition of the Earth, present geological insights into the make up of the continental and oceanic crust, those parts of the Earth that concentrate Th and U, the heat producing elements, and provide details of the regional settings in the continents and oceans where operating and planned detectors are sited. Details are presented for the only two operating detectors that are capable of measuring the Earth's geo-neutrinos flux: Borexino and KamLAND; results achieved to date are presented, along with their impacts on geophysical and geochemical models of the Earth. Finally, future planned experiments are highlighted. 	
1401.0508v1	http://arxiv.org/pdf/1401.0508v1	2014	The Giza "written" landscape and the double project of King Khufu	Giulio Magli	  In recent years, different scientific disciplines, from Physics to Egyptology, from Geology to Archaeoastronomy, evidenced a series of clues pointing to the possibility that the original project of the pyramid complex of Khufu at Giza included also the project of the second pyramid complex at the same site, that of Khafra. The aim of the present paper is to discuss this issue in a systematic fashion and to explore its consequences on the way the ancient Egyptians conceived and built monuments and entire landscapes during the Old Kingdom. 	
1506.05216v1	http://arxiv.org/pdf/1506.05216v1	2015	The k-NN algorithm for compositional data: a revised approach with and   without zero values present	Michail Tsagris	  In compositional data, an observation is a vector with non-negative components which sum to a constant, typically 1. Data of this type arise in many areas, such as geology, archaeology, biology, economics and political science among others. The goal of this paper is to extend the taxicab metric and a newly suggested metric for compositional data by employing a power transformation. Both metrics are to be used in the k-nearest neighbours algorithm regardless of the presence of zeros. Examples with real data are exhibited. 	
1507.00225v1	http://arxiv.org/pdf/1507.00225v1	2015	Modeling Compositional Regression with uncorrelated and correlated   errors: a Bayesian approach	Taciana K. O. Shimizu|Francisco Louzada|Adriano K. Suzuki|Ricardo S. Ehlers	  Compositional data consist of known compositions vectors whose components are positive and defined in the interval (0,1) representing proportions or fractions of a "whole". The sum of these components must be equal to one. Compositional data is present in different knowledge areas, as in geology, economy, medicine among many others. In this paper, we introduce a Bayesian analysis for compositional regression applying additive log-ratio (ALR) transformation and assuming uncorrelated and correlated errors. The Bayesian inference procedure based on Markov Chain Monte Carlo Methods (MCMC). The methodology is illustrated on an artificial and a real data set of volleyball. 	
1705.01145v1	http://arxiv.org/pdf/1705.01145v1	2017	Stochastic modelling of non-stationary financial assets	Joana Estevens|Paulo Rocha|Joao Boto|Pedro Lind	  We model non-stationary volume-price distributions with a log-normal distribution and collect the time series of its two parameters. The time series of the two parameters are shown to be stationary and Markov-like and consequently can be modelled with Langevin equations, which are derived directly from their series of values. Having the evolution equations of the log-normal parameters, we reconstruct the statistics of the first moments of volume-price distributions which fit well the empirical data. Finally, the proposed framework is general enough to study other non-stationary stochastic variables in other research fields, namely biology, medicine and geology. 	
1707.05132v1	http://arxiv.org/pdf/1707.05132v1	2017	The downward directed grounds hypothesis and very large cardinals	Toshimichi Usuba	  A transitive model $M$ of ZFC is called a ground if the universe $V$ is a set forcing extension of $M$. We show that the grounds of $V$ are downward set-directed. Consequently, we establish some fundamental theorems on the forcing method and the set-theoretic geology. For instance, (1) the mantle, the intersection of all grounds, must be a model of ZFC. (2) $V$ has only set many grounds if and only if the mantle is a ground. We also show that if the universe has some very large cardinal, then the mantle must be a ground. 	
0907.1067v4	http://arxiv.org/pdf/0907.1067v4	2010	Cometary airbursts and atmospheric chemistry: Tunguska and a candidate   Younger Dryas event	Adrian L. Melott|Brian C. Thomas|Gisela Dreschhoff|Carey K. Johnson	  We find agreement between models of atmospheric chemistry changes from ionization for the 1908 Tunguska airburst event and nitrate enhancement in GISP2H and GISP2 ice cores, plus an unexplained ammonium spike. We then consider a candidate cometary impact at the Younger Dryas onset (YD). The large estimated NO_x production and O_3 depletion are beyond accurate extrapolation, but the ice core peak is much lower, possibly because of insufficient sampling resolution. Ammonium and nitrate spikes have been attributed to biomass burning at YD onset in both GRIP and GISP2 ice cores. A similar result is well-resolved in Tunguska ice core data, but that forest fire was far too small to account for this. Direct input of ammonia from a comet into the atmosphere is adequate for YD ice core data, but not Tunguska data. An analog of the Haber process with hydrogen contributed by cometary or surface water, atmospheric nitrogen, high pressures, and possibly catalytic iron from a comet could in principle produce ammonia, accounting for the peaks in both data sets. 	
1003.4347v3	http://arxiv.org/pdf/1003.4347v3	2011	Extraterrestrial Solar Neutrino Physics	W-Y. Pauchy Hwang|Jen-Chieh Peng	  We advocate the extraterrestrial solar neutrino physics (etSNP) as a means of investigating solar neutrino physics (SNP). As we already know, the dominant and subdominant (vacuum) oscillation lengths would be approximately one kilometer and one hundred kilometers. On the other hand, we know so far that the matter-enhanced oscillations take place only in the core of the Sun. Thus, the etSNP, i.e. solar neutrino physics that could be extracted outside the Earth, would assume a special unique role. The etSNP experiments include (1) a satellite (detector) around the Earth or around the Jupiter or others (to provide the shadow, for the matter-enhanced neutrino oscillations), (2) during the Sun-Venus-Earth eclipse or similar, and (3) the chemical compositions of the geology type (as in the Jupiter or in the Venus, to study the origins of these planets). To be specific, we note that the reactions induced by the ^8B solar neutrinos, in view of the sole high energy nature (E_\nu^{max}=14.03 MeV), would be most interesting in the solar environment. Moreover, the experiments such as the chemical compositions of the geology type (on the Venus or Jupiter) and the matter-enhanced oscillations when the Sun-Venus-Earth eclipse, or the Sun-Mercury-Earth eclipse, may also be interesting. 	
9911450v1	http://arxiv.org/pdf/astro-ph/9911450v1	1999	Some selected comments on cosmic radioactivities	M. Arnould|G. Meynet|N. Mowlavi	  Radionuclides with half-lives ranging from some years to billions of years presumably synthesized outside of the solar system are now recorded in `live' or `fossil' form in various types of materials, like meteorites or the galactic cosmic rays. They bring specific astrophysical messages the deciphering of which is briefly reviewed here, with special emphasis on the contribution of Jerry Wasserburg and his collaborators to this exciting field of research. A brief mention is also made to $\gamma$-ray line astrophysics. It provides an interesting information on live short-lived radionuclides in the present interstellar medium, and thus complements in a very important way the study of extinct radionuclides in meteorites. 	
0302023v1	http://arxiv.org/pdf/astro-ph/0302023v1	2003	On the carriers of the celestial infrared vibrational bands and their   excitation mechanisms	Renaud Papoular	  The recent influx of high-quality infrared spectroscopic data has prompted an extensive reassessment of various laboratory models in comparison with the observed UIBs (Unidentified Infrared Bands). As a result, significant modifications were brought to the original paradigms. The focus here is on the correction of the coal model, characterized by: 1) a shift towards less aromatic materials of the same family (kerogens; the composition, structure and IR spectrum of these materials are extensively documented in the geology literature); 2) the introduction of a new excitation mechanism (chemiluminescence), based on the capture of hydrogen atoms by carbonaceous dust. The fundamental characters of this model, viz. chemical and structural disorder, and diversity of chemical bondings, naturally point to ways of further tailoring, in order to fit particular observations more closely. 	
0307398v1	http://arxiv.org/pdf/astro-ph/0307398v1	2003	A Survey of 10-Micron Silicate Emission from Dust around Young Sun-Like   Stars	Eric Gaidos|Christopher Koresko	  We obtained low resolution (R = 100) mid-infrared (8-13 micron wavelengths) spectra of 8 nearby young main sequence stars with the Keck 1 telescope and Long-Wavelength Spectrometer (LWS) to search for 10 micron silicate (Si-O stretch) emission from circumstellar dust. No stars exhibited readily apparent emission: Spectra were then analyzed by least-squares fitting of a template based on a spectrum of Comet Hale-Bopp. Using this technique, we were able to constrain the level of silicate emission to a threshold ten times below what was previously possible from space. We found one star, HD 17925, with a spectrum statistically different from its calibrator and consistent with a silicate emission peak of 7% of the photosphere at a wavelength of 10 microns. Excess emission at 60 microns from this star has already been reported. 	
9907012v1	http://arxiv.org/pdf/cond-mat/9907012v1	1999	Cahn-Hilliard Theory for Unstable Granular Flows	T. P. C. van Noije|M. H. Ernst	  A Cahn-Hilliard-type theory for hydrodynamic fluctuations is proposed that gives a quantitative description of the slowly evolving spatial correlations and structures in density and flow fields in the early stages of evolution of freely cooling granular fluids. Two mechanisms for pattern selection and structure formation are identified: unstable modes leading to density clustering (compare spinodal decomposition), and selective noise reduction (compare peneplanation in structural geology) leading to vortex structures. As time increases, the structure factor for the density field develops a maximum, which shifts to smaller wave numbers. This corresponds to an approximately diffusively growing length scale for density clusters. The spatial velocity correlations exhibit algebraic decay $\sim r^{-d}$ on intermediate length scales. The theoretical predictions for spatial correlation functions and structure factors agree well with molecular dynamics simulations of a system of inelastic hard disks. 	
0601660v2	http://arxiv.org/pdf/cond-mat/0601660v2	2006	Wet Granular Materials	Namiko Mitarai|Franco Nori	  Most studies on granular physics have focused on dry granular media, with no liquids between the grains. However, in geology and many real world applications (e.g., food processing, pharmaceuticals, ceramics, civil engineering, constructions, and many industrial applications), liquid is present between the grains. This produces inter-grain cohesion and drastically modifies the mechanical properties of the granular media (e.g., the surface angle can be larger than 90 degrees). Here we present a review of the mechanical properties of wet granular media, with particular emphasis on the effect of cohesion. We also list several open problems that might motivate future studies in this exciting but mostly unexplored field. 	
9710001v2	http://arxiv.org/pdf/nucl-ex/9710001v2	2005	Antineutrino Geophysics with Liquid Scintillator Detectors	Casey G. Rothschild|Mark C. Chen|Frank P. Calaprice	  Detecting the antineutrinos emitted by the decay of radioactive elements in the mantle and crust could provide a direct measurement of the total abundance of uranium and thorium in the Earth. In calculating the antineutrino flux at specific sites, the local geology of the crust and the background from the world's nuclear power reactors are important considerations. Employing a global crustal map, with type and thickness data, and using recent estimates of the uranium and thorium distribution in the Earth, we calculate the antineutrino event rate for two new neutrino detectors. We show that spectral features allow terrestrial antineutrino events to be identified above reactor antineutrino backgrounds and that the uranium and thorium contributions can be separately determined. 	
0103002v1	http://arxiv.org/pdf/nucl-ex/0103002v1	2001	Analysis of a Fossil Bone from the Archaeological Settlement Malu Rosu,   Romania by Accelerator Mass Spectrometry	Agata Olariu|Ion V. Popescu|Ragnar Hellborg|Kristina Stenström|Mikko Faarinen|Per Persson|Bengt Erlandsson|Göran Skog|Emilian Alexandrescu	  A fossil bone from the archaeological site Malu Rosu Giurgiu, in Romania has been analyzed by accelerator mass spectrometry to estimate its age by determining its $^{14}$C content. The radiocarbon age of the bone is in agreement with the date obtained by the method for age determination, based on fluorine content. This is the first radiocarbon dating for the final Neolithic period, for this archaeological settlement in the Romanian region. 	
0606234v1	http://arxiv.org/pdf/physics/0606234v1	2006	Focusing inversion techniques applied to electrical resistance   tomography in an experimental tank	G. Pagliara|G. Vignoli	  We present an algorithm for focusing inversion of electrical resistivity tomography (ERT) data. ERT is a typical example of ill-posed problem. Regularization is the most common way to face this kind of problems; it basically consists in using a priori information about targets to reduce the ambiguity and the instability of the solution. By using the minimum gradient support (MGS) stabilizing functional, we introduce the following geometrical prior information in the reconstruction process: anomalies have sharp boundaries. The presented work is embedded in a project (L.A.R.A.) which aims at the estimation of hydrogeological properties from geophysical investigations. L.A.R.A. facilities include a simulation tank (4 m x 8 m x 1.35 m); 160 electrodes are located all around the tank and used for 3-D ERT. Because of the large number of electrodes and their dimensions, it is important to model their effect in order to correctly evaluate the electrical system response. The forward modelling in the presented algorithm is based on the so-called complete electrode model that takes into account the presence of the electrodes and their contact impedances. In this paper, we compare the results obtained with different regularizing functionals applied on a synthetic model. 	
0609252v1	http://arxiv.org/pdf/physics/0609252v1	2006	Variable selection based on entropic criterion and its application to   the debris-flow triggering	Chien-chih Chen|Chih-Yuan Tseng|Jia-Jyun Dong	  We propose a new data analyzing scheme, the method of minimum entropy analysis (MEA), in this paper. New MEA provides a quantitative criterion to select relevant variables for modeling the physical system interested. Such method can be easily extended to various geophysical/geological data analysis, where many relevant or irrelevant available measurements may obscure the understanding of the highly complicated physical system like the triggering of debris-flows. After demonstrating and testing the MEA method, we apply this method to a dataset of debris-flow occurrences in Taiwan and successfully find out three relevant variables, i.e. the hydrological form factor, numbers and areas of landslides, to the triggering of observed debris-flow events due to the 1996 Typhoon Herb. 	
0407009v1	http://arxiv.org/pdf/q-bio/0407009v1	2004	Nanosurgery: Observation of Peptidoglycan Strands in Lactobacillus   helveticus Cell Walls	Max Firtel|Grant Henderson|Igor Sokolov	  The internal cell wall structure of the bacterium Lactobacillus helveticus has been observed in situ in aqueous solution using an atomic force microscope (AFM). The AFM tip was used not only for imaging but presumably to remove mechanically large patches of the outer cell wall after appropriate chemical treatment, which typically leaves the bacteria alive. The surface exposed after such a surgery revealed ca. 26 nm thick twisted strands within the cell wall. The structure and location of the observed strands are consistent with the glycan backbone of peptidoglycan fibers that give strength to the cell wall. The found structural organization of these fibers has not been observed previously. 	
0707.0808v1	http://arxiv.org/pdf/0707.0808v1	2007	The Cyborg Astrobiologist: Porting from a wearable computer to the   Astrobiology Phone-cam	Alexandra Bartolo|Patrick C. McGuire|Kenneth P. Camilleri|Christopher Spiteri|Jonathan C. Borg|Philip J. Farrugia|Jens Ormo|Javier Gomez-Elvira|Jose Antonio Rodriguez-Manfredi|Enrique Diaz-Martinez|Helge Ritter|Robert Haschke|Markus Oesker|Joerg Ontrup	  We have used a simple camera phone to significantly improve an `exploration system' for astrobiology and geology. This camera phone will make it much easier to develop and test computer-vision algorithms for future planetary exploration. We envision that the `Astrobiology Phone-cam' exploration system can be fruitfully used in other problem domains as well. 	
0806.2185v1	http://arxiv.org/pdf/0806.2185v1	2008	A Spectroscopically Unique Main Belt Asteroid: 10537 (1991 RY16)	Nicholas A. Moskovitz|Samuel Lawrence|Robert Jedicke|Mark Willman|Nader Haghighipour|Schelte J. Bus|Eric Gaidos	  We present visible and near-infrared reflectance spectra and interpreted surface mineralogy for asteroid 10537 (1991 RY16). The spectrum of this object is without precedent amongst the Main Belt asteroids. A unique absorption band centered at 0.63 microns could be attributed to one of several mineralogies. Pronounced 1- and 2-micron absorption bands suggest that the composition of 10537 is a mixture of pyroxenes and olivine and that it originated from a parent body that was partially or fully differentiated. The closest available analog is the large Main Belt asteroid 349 Dembowska but 10537 may be an isolated fragment from a completely eroded parent body. 	
0809.0013v1	http://arxiv.org/pdf/0809.0013v1	2008	Situational diagnosis for preservice elementary teachers on some basic   astronomical phenomena	Alejandro Gangui|Maria Iglesias|Cynthia Quinteros	  The present situation of the teaching-learning relationship in astronomy is rarely investigated in our country. This is so, even when it is widely recognized that astronomy is an integral discipline, at the crossroads of advances in physics, geology, chemistry, etc. In this project we aim at contributing with the situational diagnosis in topics of astronomy of preservice elementary teachers, and to try and develop didactic tools that better collaborate with their formal education. We work with an open written questionnaire, designed to put in evidence some of the most frequently used models on a few basic astronomical notions. We here describe the main questions included in the test, and show our first results and some conclusions after having addressed the questionnaire to a number of preservice elementary teachers. 	
0810.3736v1	http://arxiv.org/pdf/0810.3736v1	2008	Detection of Geoneutrinos: Can We Make the Gnus Work for Us?	John G. Learned	  The detection of electron anti-neutrinos from natural radioactivity in the earth has been a goal of neutrino researchers for about half a century. It was accomplished by the KamLAND Collaboration in 2005, and opens the way towards studies of the Earth's radioactive content, with very important implications for geology. New detectors are operating (KamLAND and Borexino), building (SNO+) and being proposed (Hanohano, LENA, Earth and others) that will go beyond the initial observation and allow interesting geophysical and geochemical research, in a means not otherwise possible. Herein we describe the approaches being taken (large liquid scintillation instruments), the experimental and technical challenges (optical detectors, directionality), and prospects for growth of this field. There is related spinoff in particle physics (neutrino oscillations and hierarchy determination), astrophysics (solar neutrinos, supernovae, exotica), and in the practical matter of remote monitoring of nuclear reactors. 	
0904.0317v1	http://arxiv.org/pdf/0904.0317v1	2009	Integrating Remote Sensing, GIS and Prediction Models to Monitor the   Deforestation and Erosion in Peten Reserve, Guatemala	Roberto Bruno|Marco Follador|Martin Paegelow|Fernanda Renno|Nathalie Villa	  This contribution provides a strategy for studying and modelling the deforestation and soil deterioration in the natural forest reserve of Peten, Guatemala, using a poor spatial database. A Multispectral Image Processing of Spot and TM Landsat data permits to understand the behaviour of the past land cover dynamics; a multi-temporal analysis of Normalized Difference Vegetation and Hydric Stress index, most informative RGB (according to statistical criteria) and Principal Components, points out the importance and the direction of environmental impacts. We gain from the Remote Sensing images new environmental criteria (distance from roads, oil pipe-line, DEM, etc.) which influence the spatial allocation of predicted land cover probabilities. We are comparing the results of different prospective approaches (Markov Chains, Multi Criteria Evaluation and Cellular Automata; Neural Networks) analysing the residues for improving the final model of future deforestation risk. 	
1005.0312v2	http://arxiv.org/pdf/1005.0312v2	2010	Conditional Sampling for Spectrally Discrete Max-Stable Random Fields	Yizao Wang|Stilian A. Stoev	  Max-stable random fields play a central role in modeling extreme value phenomena. We obtain an explicit formula for the conditional probability in general max-linear models, which include a large class of max-stable random fields. As a consequence, we develop an algorithm for efficient and exact sampling from the conditional distributions. Our method provides a computational solution to the prediction problem for spectrally discrete max-stable random fields. This work offers new tools and a new perspective to many statistical inference problems for spatial extremes, arising, for example, in meteorology, geology, and environmental applications. 	
